Year,Month,Title,Total Authors,China Authors,Unknown Authors,Other Authors,Access Type
2021,8,Enhanced Lunar Topographic Mapping Using Multiple Stereo Images Taken by Yutu-2 Rover with Changing ,10,9,1,0,Subscribed content
2021,8,Unsupervised Representation High-Resolution Remote Sensing Image Scene Classification via Contrastiv,5,5,0,0,Subscribed content
2021,7,Three-Dimensional Reconstruction of Single Input Image Based on Point Cloud,7,6,1,0,Subscribed content
2021,7,A Unified Framework of Bundle Adjustment and Feature Matching for High-Resolution Satellite Images,3,3,0,0,Subscribed content
2021,7,"The Spatiotemporal Evolution of Urban Impervious Surface for Chengdu, China",10,10,0,0,Subscribed content
2021,7,Optimizing the Segmentation of a High-Resolution Image by Using a Local Scale Parameter,4,4,0,0,Subscribed content
2021,7,Review of Spectral Indices for Urban Remote Sensing,9,3,6,0,Subscribed content
2021,6,Spatial Resolution Enhancement for Large-Scale Land Cover Mapping via Weakly Supervised Deep Learnin,5,3,1,1,Subscribed content
2021,6,Ecological Functions and Human Activity Interference Evaluation in Ecological Protection Redline for,6,6,0,0,Subscribed content
2021,6,A High-Resolution Satellite DEM Filtering Method Assisted with Building Segmentation,8,7,1,0,Subscribed content
2021,6,A Combined Unmixing Framework for Impervious Surface Mapping on Medium-Resolution Images with Visibl,2,2,0,0,Subscribed content
2021,6,An Incremental Isomap Method for Hyperspectral Dimensionality Reduction and Classification,12,12,0,0,Subscribed content
2021,5,Inversion of Solar-Induced Chlorophyll Fluorescence Using Polarization Measurements of Vegetation,6,4,2,0,Subscribed content
2021,5,Quality Assessment of Heterogeneous Training Data Sets for Classification of Urban Area with Landsat,4,3,1,0,Subscribed content
2021,5,Comparative Assessment of Target-Detection Algorithms for Urban Targets Using Hyperspectral Data,2,0,2,0,Subscribed content
2021,5,A Real-Time Photogrammetric System for Acquisition and Monitoring of Three-Dimensional Human Body Ki,4,4,0,0,Subscribed content
2021,5,Modeling Hyperhemispherical Points and Calibrating a Dual-Fish-Eye System for Close-Range Applicatio,5,0,4,1,Subscribed content
2021,4,A Digital Terrain Modeling Method in Urban Areas by the ICESat-2 (Generating precise terrain surface,4,2,2,0,Subscribed content
2021,4,A Novel Class-Specific Object-Based Method for Urban Change Detection Using High-Resolution Remote S,6,5,1,0,Subscribed content
2021,4,Discovering Potential Illegal Construction Within Building Roofs from UAV Images Using Semantic Segm,6,6,0,0,Subscribed content
2021,4,Error Analysis and Optimization of a Sky Full-Polarization Imaging Detection System,5,5,0,0,Subscribed content
2021,4,Parsing of Urban Facades from 3D Point Clouds Based on a Novel Multi-View Domain,4,4,0,0,Subscribed content
2021,4,Scene Classification of Remotely Sensed Images via Densely Connected Convolutional Neural Networks a,6,6,0,0,Subscribed content
2021,3,Extraction of Impervious Surface Using Sentinel-1A Time-Series Coherence Images with the Aid of a Se,4,3,1,0,Subscribed content
2021,3,Road Extraction fromCartosat-2FMultispectral Data with Object-Oriented Analysis,3,0,2,1,Subscribed content
2021,3,Digital Surface Model Refinement Based on Projected Images,2,2,0,0,Subscribed content
2021,3,Remote Sensing for Ecosystem Services and Urban Sustainability,1,0,1,0,Subscribed content
2021,3,Monitoring Work Resumption of Wuhan in the COVID-19 Epidemic Using Daily Nighttime Light,4,4,0,0,Subscribed content
2021,3,Progressive TIN Densification with Connection Analysis for Urban Lidar Data,4,4,0,0,Subscribed content
2021,2,Monitoring the Spatiotemporal Dynamics of Urban Green Space and Its Impacts on Thermal Environment i,4,3,1,0,Subscribed content
2021,2,A Soil and Impervious Surface Adjusted Index for Urban Impervious Surface Area Mapping,3,3,0,0,Subscribed content
2021,2,Reclaimed-Airport Surface-Deformation Monitoring by Improved Permanent-Scatterer Interferometric Syn,7,6,1,0,Subscribed content
2021,2,Fully Convolutional Neural Network for Impervious Surface Segmentation in Mixed Urban Environment,5,0,3,2,Subscribed content
2021,2,An Improved GPU-Based Parallel Computing Method for Landscape Index Calculation in Urban Area,4,3,1,0,Subscribed content
2021,2,Exploring the Performance of Different Texture Information and Polarization Features from PolSAR Ima,3,2,1,0,Subscribed content
2021,1,SIP-Based Inversion Model of Mining-Induced 3D Deformation,5,5,0,0,Subscribed content
2021,1,Building Extraction from Lidar Data Using Statistical Methods,1,0,0,1,Subscribed content
2021,1,Georeferencing with Self-Calibration for Airborne Full-Waveform Lidar Data Using Digital Elevation M,2,2,0,0,Subscribed content
2021,1,An Improved Approach Based on Terrain-dependent Mathematical Models for Georeferencing Pushbroom Sat,4,0,3,1,Subscribed content
2021,1,Dynamic Spatial Fusion of Cloud Vertical Phase fromCALIPSOandCloudSatSatellite Data,6,6,0,0,Subscribed content
2020,12,Turbid Underwater Polarization Patterns Considering Multiple Mie Scattering of Suspended Particles,5,4,1,0,Subscribed content
2020,12,Polarization of Light Reflected by Grass: Modeling Using Visible-Sunlit Areas,3,3,0,0,Subscribed content
2020,12,Calibration of Frequency Shift System of Wind Imaging Interferometer,6,5,1,0,Subscribed content
2020,12,Optimal Demodulation Algorithm of Spatially Modulated Full-Polarization Imaging System,8,8,0,0,Subscribed content
2020,12,Sensitive Research of Scattering and Absorbing Aerosols on Sky Polarization Pattern,6,5,1,0,Subscribed content
2020,11,Building Facade Reconstruction Using Crowd- Sourced Photos and Two-Dimensional Maps,6,4,2,0,Subscribed content
2020,11,"VNIR-SWIR Superspectral Mineral Mapping: An Example from Cuprite, Nevada",2,0,1,1,Subscribed content
2020,11,A New Approach to Land Registry System in Turkey: Blockchain-Based System Proposal,4,0,1,3,Subscribed content
2020,10,Uncertainty of Forested Wetland Maps Derived from Aerial Photography,5,0,3,2,Subscribed content
2020,10,Weighted Spherical Sampling of Point Clouds for Forested Scenes,3,0,1,2,Subscribed content
2020,10,Redefining the Directional-Hemispherical Reflectance and Transmittance of Needle-Shaped Leaves to Ad,5,5,0,0,Subscribed content
2020,10,Pavement Macrotexture Determination Using Multi-View Smartphone Images,8,7,1,0,Subscribed content
2020,9,Heliport Detection Using Artificial Neural Networks,1,0,0,1,Subscribed content
2020,9,Semi-Automatic Building Extraction from WorldView-2 Imagery Using Taguchi Optimization,2,0,2,0,Subscribed content
2020,9,Precise Extraction of Citrus Fruit Trees from a Digital Surface Model Using a Unified Strategy: Dete,2,0,1,1,Subscribed content
2020,9,Performance Analysis of Advanced Decision Forest Algorithms in Hyperspectral Image Classification,2,0,2,0,Subscribed content
2020,9,Analyzing the Contribution of Training Algorithms on Deep Neural Networks for Hyperspectral Image Cl,3,0,1,2,Subscribed content
2020,8,"History of Laser Scanning, Part 2: The Later Phase of Industrial and Heritage Applications",1,0,1,0,Open Access content
2020,8,Study on Global Burned Forest Areas Based on Landsat Data,9,8,1,0,Subscribed content
2020,8,Mapping Understory Invasive Plants in Urban Forests with Spectral and Temporal Unmixing of Landsat I,2,0,1,1,Subscribed content
2020,7,"A History of Laser Scanning, Part 1: Space and Defense Applications",1,0,1,0,Subscribed content
2020,7,Improved Crop Classification with Rotation Knowledge using Sentinel-1 and -2 Time Series,4,1,3,0,Subscribed content
2020,7,Improved Depth Estimation for Occlusion Scenes Using a Light-Field Camera,6,5,1,0,Subscribed content
2020,6,Trajectory Drift–Compensated Solution of a Stereo RGB-D Mapping System,9,9,0,0,Subscribed content
2020,6,The Geometric Imaging Model for High-Resolution Optical Remote Sensing Satellites Considering Light ,4,4,0,0,Subscribed content
2020,6,Using 250-m MODIS Data for Enhancing Spatiotemporal Fusion by Sparse Representation,3,3,0,0,Subscribed content
2020,5,Geomorphic Change Detection Using Cost-Effective Structure-from-Motion Photogrammetry: Evaluation of,4,0,3,1,Subscribed content
2020,5,An Improved Method of Refining Relative Orientation in Global Structure from Motion with a Focus on ,2,1,1,0,Subscribed content
2020,5,Improving Component Substitution Pan-Sharpening Through Refinement of the Injection Detail,4,4,0,0,Subscribed content
2020,4,Satellite-Imagery Geometric Accuracy Improvement Based on Direct Correction of Dominant Coefficients,6,6,0,0,Subscribed content
2020,4,Temporal Validation of Four LAI Products over Grasslands in the Northeastern Tibetan Plateau,4,3,1,0,Subscribed content
2020,4,Building Extraction from High-Resolution Remote Sensing Images Based on GrabCut with Automatic Selec,6,4,2,0,Subscribed content
2020,4,Topographic and Geomorphological Mapping and Analysis of the Chang'E-4 Landing Site on the Far Side ,15,14,1,0,Subscribed content
2020,3,Edge-Reinforced Convolutional Neural Network for Road Detection in Very-High-Resolution Remote Sensi,5,4,1,0,Subscribed content
2020,3,The Application of Bidirectional Reflectance Distribution Function Data to Recognize the Spatial Het,3,3,0,0,Subscribed content
2020,3,Self-Calibration of the Stereo Vision System of the Chang'e-4 Lunar Rover Based on the Points and Li,8,7,1,0,Subscribed content
2020,3,Reducing Shadow Effects on the Co-Registration of Aerial Image Pairs,6,0,6,0,Subscribed content
2020,3,Assessment of Salt Marsh Change on Assateague Island National Seashore Between 1962 and 2016,2,1,1,0,Subscribed content
2020,2,Using Ranked Probability Skill Score (RPSS) as Nonlocal Root-Mean-Square Errors (RMSEs) for Mitigati,1,0,0,1,Subscribed content
2020,2,Economy Estimation of Mainland China at County-Level Based on Landsat Images and Multi-Task Deep Lea,4,4,0,0,Subscribed content
2020,2,Multi-Spatial Resolution Satellite and sUAS Imagery for Precision Agriculture on Smallholder Farms i,7,1,6,0,Subscribed content
2020,2,Quintuple Local Coordinate Images for Local Shape Description,4,4,0,0,Subscribed content
2020,1,Application of PCA Analysis and QR Decomposition to Address RFM's Ill-Posedness,4,0,4,0,Subscribed content
2020,1,3D Iterative Spatiotemporal Filtering for Classification of Multitemporal Satellite Data Sets,6,4,2,0,Subscribed content
2020,1,Robust Pose Estimation and Calibration of Catadioptric Cameras With Spherical Mirrors,3,0,3,0,Subscribed content
2019,12,A Learning Approach to Evaluate the Quality of 3D City Models,4,0,4,0,Subscribed content
2019,12,An Optimization Method for Hyperspectral Endmember Extraction Based on K-SVD,4,4,0,0,Subscribed content
2019,12,A Comparative Assessment of the Photogrammetric Accuracy of Mapping Using UAVs with Smart Devices,5,0,1,4,Subscribed content
2019,12,Cost-Effective Coastal Habitat Mapping: Detecting Intertidal Polychaete Aggregations with Low-Altitu,6,0,4,2,Subscribed content
2019,12,A Two-Stage Spatiotemporal Fusion Method for Remote Sensing Images,2,2,0,0,Subscribed content
2019,11,Soil Moisture Retrieval Using Modified Particle Swarm Optimization and Back-Propagation Neural Netwo,5,5,0,0,Subscribed content
2019,11,Scattering-Mechanism-Based Investigation of Optimal Combinations of Polarimetric SAR Frequency Bands,3,2,1,0,Subscribed content
2019,11,On-Orbit Calibration Approach Based on Partial Calibration-Field Coverage for the GF-1/WFV Camera,5,4,1,0,Subscribed content
2019,11,Semiautomatically Register MMS LiDAR Points and Panoramic Image Sequence Using Road Lamp and Lane,3,2,1,0,Subscribed content
2019,11,A Double-Strategy-Check Active Learning Algorithm for Hyperspectral Image Classification,4,3,1,0,Subscribed content
2019,10,Mapping Annual Urban Change Using Time Series Landsat and NLCD,4,3,1,0,Subscribed content
2019,10,Robust Multisource Remote Sensing Image Registration Method Based on Scene Shape Similarity,5,5,0,0,Subscribed content
2019,10,Accurate Detection of Built-Up Areas from High-Resolution Remote Sensing Imagery Using a Fully Convo,5,4,1,0,Subscribed content
2019,10,Postprocessing Synchronization of a Laser Scanning System Aboard a UAV,4,0,3,1,Subscribed content
2019,10,A CNN-Based Subpixel Level DSM Generation Approach via Single Image Super-Resolution,6,6,0,0,Subscribed content
2019,9,Enhanced 3D Mapping with an RGB-D Sensor via Integration of Depth Measurements and Image Sequences,4,3,1,0,Subscribed content
2019,9,Geometric Calibration for the Aerial Line Scanning Camera GFXJ,7,6,1,0,Subscribed content
2019,9,Collaborative Sparse Coding with Smoothness Regularization for Hyperspectral-Image Classification,4,3,1,0,Subscribed content
2019,9,PPD: Pyramid Patch Descriptor via Convolutional Neural Network,3,2,0,1,Subscribed content
2019,9,How Did Deciduous Rubber Plantations Expand Spatially in China's Xishuangbanna Dai Autonomous Prefec,3,3,0,0,Subscribed content
2019,8,Roof-Cut Guided Localization for Building Change Detection from Imagery and Footprint Map,4,2,2,0,Subscribed content
2019,8,Contextual Global Registration of Point Clouds in Urban Scenes,2,1,1,0,Subscribed content
2019,8,Pavement Marking Retroreflectivity Estimation and Evaluation using Mobile Lidar Data,4,1,2,1,Subscribed content
2019,8,Total Vertical Uncertainty (TVU) Modeling for Topo-Bathymetric LIDAR Systems,5,0,4,1,Subscribed content
2019,8,Exploiting Cosegmentation and Geo-Eco Zoning for Land Cover Product Updating,5,4,1,0,Subscribed content
2019,7,High-Resolution Large-Area Digital Orthophoto Map Generation Using LROC NAC Images,13,9,4,0,Subscribed content
2019,7,Occlusion Probability in Operational Forest Inventory Field Sampling with ForeStereo,6,0,6,0,Subscribed content
2019,7,A Novel Method for Separating Woody and Herbaceous Time Series,3,2,1,0,Subscribed content
2019,7,Examining the Effectiveness of Spectrally Transformed SMA in Urban Environments,2,2,0,0,Subscribed content
2019,6,CNN-Based Dense Image Matching for Aerial Remote Sensing Images,3,2,1,0,Subscribed content
2019,6,Semantic Façade Segmentation from Airborne Oblique Images,3,2,1,0,Subscribed content
2019,6,RoofN3D: A Database for 3D Building Reconstruction with Deep Learning,4,0,3,1,Subscribed content
2019,6,Through-Water Dense Image Matching for Shallow Water Bathymetry,1,0,1,0,Subscribed content
2019,6,Object-Based Point Cloud Analysis for Landslide and Erosion Monitoring,3,0,3,0,Subscribed content
2019,5,Robust Structure From Motion Based on Relative Rotations and Tie Points,3,1,2,0,Subscribed content
2019,5,Flexible Photogrammetric Computations Using Modular Bundle Adjustment: The Chain Rule and the Collin,5,0,4,1,Subscribed content
2019,5,Aiding Indoor Photogrammetry with UWB Sensors,5,0,5,0,Subscribed content
2019,5,DSM Generation from High Resolution Multi-View Stereo Satellite Imagery,2,0,2,0,Subscribed content
2019,5,Self-Supervised Convolutional Neural Networks for Plant Reconstruction Using Stereo Imagery,5,2,3,0,Subscribed content
2019,4,Cloud Detection Method for High Resolution Remote Sensing Imagery Based on the Spectrum and Texture ,5,5,0,0,Open Access content
2019,4,Machine Learning-Based Ensemble Prediction of Water-quality Variables Using Feature-level and Decisi,6,0,5,1,Subscribed content
2019,4,Active-Passive Spaceborne Data Fusion for Mapping Nearshore Bathymetry,2,0,2,0,Subscribed content
2019,4,Vehicle Detection in Aerial Images,5,4,1,0,Subscribed content
2019,4,Integrated Relative Orientation Based on Point and Line Features via Plücker Coordinates,3,2,1,0,Subscribed content
2019,4,A New Pseudorigorous Lidar System Calibration Strategy with Minimal Requirements and Higher Capabili,2,0,2,0,Subscribed content
2019,3,An Image-Pyramid-Based Raster-to-Vector Conversion (IPBRTVC) Framework for Consecutive-Scale Cartogr,3,3,0,0,Subscribed content
2019,3,"Land Cover Classification in Combined Elevation and Optical Images Supported by OSM Data, Mixed-leve",4,0,3,1,Subscribed content
2019,3,Improved Camera Distortion Correction and Depth Estimation for Lenslet Light Field Camera,5,4,1,0,Subscribed content
2019,3,Analysis and Correction of Digital Elevation Models for Plain Areas,6,0,5,1,Subscribed content
2019,3,An Evaluation of Reflectance Calibration Methods for UAV Spectral Imagery,4,0,3,1,Subscribed content
2019,3,Interaction Relationship Between Built-Up Land Expansion and Demographic-Social-Economic Urbanizatio,5,5,0,0,Subscribed content
2019,2,Repeated Structure Detection for 3D Reconstruction of Building Façade from Mobile Lidar Data,7,7,0,0,Subscribed content
2019,2,Landsat Orbital Repeat Frequency and Cloud Contamination: A Case Study for Eastern United States,4,1,2,1,Subscribed content
2019,2,Hierarchical Bayesian Model Based on Robust Fixed Rank Filter for Fusing MODIS SST and AMSR-E SST,6,5,1,0,Subscribed content
2019,2,"Quantification of Airborne Lidar Accuracy in Coastal Dunes (Fire Island, New York)",2,0,1,1,Subscribed content
2019,2,Ground-Level Ozone Concentration and Landscape Patterns in China's Urban Areas,2,2,0,0,Subscribed content
2019,1,Simultaneous Chain-Forming and Generalization of Road Networks,2,0,2,0,Subscribed content
2019,1,Integration of Lidar Data and GIS Data for Point Cloud Semantic Enrichment at the Point Level,3,0,3,0,Subscribed content
2019,1,Assessment of Different Vegetation Parameters for Parameterizing the Coupled Water Cloud Model and A,4,3,1,0,Subscribed content
2019,1,Individual Tree Detection and Crown Delineation with 3D Information from Multi-view Satellite Images,4,4,0,0,Subscribed content
2019,1,The Potential of Multispectral Vegetation Indices Feature Space for Quantitatively Estimating the Ph,7,5,2,0,Subscribed content
